rank,card
651,1257
652,853
653,8930
654,7264
655,4062
656,5526
657,3551
658,5357
659,9759
660,9403
661,9910
662,2098
663,9786
664,8374
665,3837
666,9792
667,4495
668,1841
669,9154
670,2817
671,1787
672,6297
673,9178
674,8231
675,8058
676,3233
677,58
678,353
679,1436
680,4282
681,1169
682,8436
683,490
684,3190
685,3312
686,5382
687,306
688,4477
689,7719
690,4410
691,7156
692,5166
693,9919
694,6585
695,7831
696,5148
697,9687
698,3528
699,8688
700,85
701,2299
702,3240
703,4973
704,9524
705,7899
706,5279
707,7278
708,8065
709,3549
710,7231
711,1903
712,6281
713,1099
714,7595
715,9223
716,3258
717,37
718,7249
719,7274
720,5767
721,3035
722,3944
723,1120
724,3593
725,945
726,3747
727,9405
728,6627
729,9467
730,5332
731,8368
732,6173
733,8354
734,2862
735,5666
736,5929
737,483
738,2807
739,6305
740,304
741,5252
742,9994
743,3109
744,6285
745,4180
746,3986
747,2592
748,2517
749,3505
750,6850
751,3642
752,515
753,9914
754,744
755,3816
756,7524
757,2124
758,4090
759,1314
760,8155
761,4401
762,6615
763,2298
764,3512
765,6728
766,4634
767,8603
768,8646
769,4709
770,1262
771,6011
772,7718
773,7172
774,68
775,3301
776,6712
777,1664
778,2760
779,586
780,3043
781,9538
782,758
783,4678
784,7962
785,4127
786,3174
787,3244
788,1635
789,6462
790,3819
791,242
792,1554
793,2081
794,4923
795,3367
796,6091
797,9820
798,3570
799,6052
800,5499
801,7204
802,4378
803,5452
804,1075
805,3795
806,8151
807,5483
808,2765
809,3370
810,2343
811,5862
812,9410
813,7306
814,2374
815,2348
816,211
817,4259
818,3503
819,8356
820,5233
821,4383
822,7855
823,2635
824,7446
825,5660
826,2146
827,9663
828,1769
829,4682
830,8881
831,5430
832,2357
833,6055
834,2890
835,4756
836,5470
837,613
838,8408
839,4289
840,5945
841,5038
842,74
843,1704
844,4625
845,8927
846,6779
847,6372
848,4420
849,8305
850,4966
851,1854
852,7953
853,9930
854,5379
855,5982
856,553
857,48
858,7406
859,9610
860,6696
861,8522
862,2748
863,7606
864,3662
865,1448
866,9173
867,2009
868,5288
869,9131
870,1159
871,9614
872,1337
873,3609
874,4877
875,1295
876,2131
877,3680
878,9106
879,6246
880,6675
881,7932
882,3595
883,4819
884,9186
885,8350
886,5832
887,363
888,8851
889,4933
890,8887
891,5551
892,8454
893,8121
894,1058
895,5036
896,4769
897,578
898,2546
899,9434
900,9380
901,4093
902,3799
903,3615
904,7807
905,4808
906,2647
907,5241
908,1230
909,6457
910,4451
911,5061
912,3652
913,3479
914,3187
915,3274
916,1558
917,6487
918,2543
919,6
920,7181
921,2577
922,4888
923,8232
924,7277
925,7612
926,7005
927,5748
928,1224
929,5057
930,6764
931,6224
932,4056
933,633
934,5318
935,369
936,7017
937,4613
938,1015
939,2455
940,8878
941,6612
942,7660
943,1758
944,3226
945,5921
946,2997
947,9450
948,5487
949,1792
950,8241
951,3364
952,8091
953,4550
954,9661
955,9258
956,3516
957,2396
958,8547
959,4755
960,6238
961,8385
962,6529
963,3575
964,4247
965,2304
966,6757
967,1794
968,4705
969,7786
970,3755
971,2477
972,1233
973,2969
974,7009
975,910
976,3269
977,1837
978,9752
979,2389
980,9478
981,598
982,5942
983,9589
984,6809
985,7195
986,9134
987,3280
988,3156
989,3697
990,2809
991,6117
992,2047
993,6515
994,2819
995,6315
996,7951
997,4817
998,1216
999,5060
1000,491
1001,7787
1002,56
1003,7571
1004,1093
1005,2487
1006,7400
1007,6518
1008,5826
1009,6102
1010,5831
1011,3295
1012,8528
1013,4385
1014,3195
1015,9066
1016,6908
1017,2234
1018,5485
1019,6004
1020,3679
1021,938
1022,3857
1023,3150
1024,1376
1025,4010
1026,5359
1027,3179
1028,8164
1029,3096
1030,620
1031,2666
1032,4743
1033,6860
1034,8852
1035,7987
1036,3118
1037,8159
1038,1333
1039,7113
1040,1735
1041,8128
1042,6346
1043,1009
1044,3699
1045,7906
1046,6217
1047,3056
1048,898
1049,1650
1050,5149
1051,664
1052,3316
1053,9206
1054,4929
1055,6422
1056,8248
1057,5427
1058,3087
1059,2619
1060,7146
1061,2965
1062,7434
1063,6577
1064,9423
1065,8003
1066,170
1067,5135
1068,7084
1069,2068
1070,2863
1071,6256
1072,8061
1073,98
1074,9738
1075,776
1076,9802
1077,7290
1078,2084
1079,210
1080,9685
1081,7615
1082,1771
1083,9383
1084,407
1085,8202
1086,9535
1087,4672
1088,1493
1089,7034
1090,5814
1091,6548
1092,8323
1093,2288
1094,8640
1095,8118
1096,4310
1097,5882
1098,6829
1099,18
1100,9091
1101,2287
1102,9945
1103,6218
1104,5642
1105,7318
1106,2723
1107,1214
1108,3017
1109,3900
1110,1815
1111,2044
1112,2159
1113,218
1114,5601
1115,2217
1116,8553
1117,9085
1118,6236
1119,9962
1120,8415
1121,7007
1122,684
1123,873
1124,3532
1125,9735
1126,9397
1127,2838
1128,146
1129,4662
1130,3959
1131,392
1132,344
1133,8076
1134,142
1135,1390
1136,1857
1137,73
1138,5538
1139,4341
1140,8923
1141,1424
1142,5558
1143,1484
1144,7147
1145,1728
1146,7046
1147,623
1148,77
1149,6235
1150,2366
1151,9543
1152,503
1153,5438
1154,6201
1155,9159
1156,2178
1157,9044
1158,5005
1159,9086
1160,8422
1161,2959
1162,4158
1163,2338
1164,7560
1165,5125
1166,190
1167,7414
1168,9571
1169,997
1170,9196
1171,5570
1172,4618
1173,7433
1174,6725
1175,2734
1176,2630
1177,9770
1178,5259
1179,4392
1180,8233
1181,7271
1182,3250
1183,9322
1184,606
1185,6683
1186,4332
1187,5746
1188,2356
1189,3112
1190,6895
1191,1503
1192,1478
1193,6105
1194,1022
1195,3739
1196,7224
1197,1275
1198,6039
1199,9612
1200,4487
1201,204
1202,386
1203,7379
1204,6549
1205,7720
1206,7071
1207,5040
1208,79
1209,4154
1210,6144
1211,8297
1212,9150
1213,8549
1214,9325
1215,2465
1216,8082
1217,4676
1218,7890
1219,790
1220,1258
1221,7168
1222,5196
1223,7709
1224,5654
1225,3950
1226,9729
1227,1596
1228,9321
1229,1256
1230,6939
1231,9483
1232,4713
1233,1043
1234,1998
1235,5099
1236,3039
1237,7305
1238,9340
1239,884
1240,9688
1241,3401
1242,4845
1243,2238
1244,9620
1245,9188
1246,9570
1247,4273
1248,2110
1249,3062
1250,4698
1251,7199
1252,7260
1253,521
1254,2189
1255,5035
1256,602
1257,1709
1258,193
1259,7275
1260,5501
1261,8278
1262,7799
1263,2495
1264,2984
1265,7110
1266,1163
1267,9146
1268,6556
1269,4721
1270,847
1271,866
1272,3872
1273,5380
1274,3436
1275,548
1276,6049
1277,7203
1278,6913
1279,6944
1280,9472
1281,1302
1282,2121
1283,8636
1284,373
1285,9155
1286,326
1287,5310
1288,1110
1289,4863
1290,516
1291,2573
1292,1790
1293,6154
1294,9005
1295,8203
1296,682
1297,230
1298,8837
1299,2449
1300,5711
1301,6866
1302,351
1303,9551
1304,6170
1305,9381
1306,4848
1307,1969
1308,1385
1309,8161
1310,2227
1311,8009
1312,4121
1313,5437
1314,1698
1315,2473
1316,9004
1317,8263
1318,4565
1319,1984
1320,6189
1321,9162
1322,1515
1323,2291
1324,4210
1325,9018
1326,4700
1327,9360
1328,6855
1329,3770
1330,2986
1331,7582
1332,1885
1333,512
1334,5491
1335,9431
1336,5475
1337,4571
1338,934
1339,1849
1340,9679
1341,8615
1342,3754
1343,2430
1344,3822
1345,5495
1346,2405
1347,5821
1348,1069
1349,1272
1350,8968
1351,5088
1352,6446
1353,7066
1354,4991
1355,6817
1356,8928
1357,76
1358,6917
1359,7574
1360,7696
1361,9454
1362,7994
1363,6833
1364,8674
1365,3787
1366,1172
1367,6012
1368,7453
1369,829
1370,8681
1371,9651
1372,6300
1373,6395
1374,8443
1375,3468
1376,6734
1377,4380
1378,8421
1379,6287
1380,7365
1381,8197
1382,7194
1383,9226
1384,1604
1385,8308
1386,3724
1387,2814
1388,1207
1389,8519
1390,9552
1391,9723
1392,4551
1393,4667
1394,3018
1395,9033
1396,3599
1397,9600
1398,1128
1399,1600
1400,5297
1401,4778
1402,64
1403,1483
1404,2058
1405,3372
1406,4655
1407,6284
1408,9861
1409,4939
1410,6459
1411,9213
1412,8146
1413,6514
1414,4234
1415,3918
1416,9986
1417,7794
1418,9452
1419,1788
1420,7395
1421,2684
1422,6770
1423,3176
1424,2041
1425,2919
1426,86
1427,6059
1428,8567
1429,4560
1430,8896
1431,4396
1432,8245
1433,6584
1434,9339
1435,9635
1436,6278
1437,5225
1438,7960
1439,4768
1440,3727
1441,1700
1442,1511
1443,4248
1444,9744
1445,61
1446,9481
1447,4739
1448,5709
1449,7879
1450,5786
1451,4589
1452,2503
1453,4054
1454,6239
1455,8027
1456,3500
1457,9053
1458,7133
1459,8716
1460,7096
1461,7180
1462,9601
1463,9546
1464,2160
1465,6875
1466,3731
1467,1718
1468,4101
1469,1155
1470,9198
1471,9462
1472,499
1473,1818
