Rank,Card
649,2956
650,6178
651,801
652,6700
653,1877
654,8812
655,8717
656,3031
657,619
658,6261
659,267
660,8535
661,129
662,3118
663,5945
664,8080
665,1677
666,6830
667,1583
668,8309
669,6658
670,2750
671,8771
672,8433
673,3377
674,7088
675,7372
676,989
677,1192
678,1672
679,4769
680,2251
681,5338
682,8581
683,3931
684,3384
685,531
686,8009
687,3097
688,6644
689,5809
690,452
691,5772
692,2899
693,6795
694,4688
695,1106
696,3320
697,5884
698,9097
699,7185
700,123
701,6580
702,100
703,586
704,7389
705,7950
706,813
707,9998
708,9057
709,5050
710,8377
711,4925
712,8357
713,995
714,128
715,3936
716,7338
717,9208
718,9535
719,2820
720,7554
721,3524
722,2894
723,1163
724,3124
725,9933
726,7869
727,9569
728,8774
729,8776
730,937
731,2887
732,5209
733,6022
734,2838
735,2749
736,9756
737,4314
738,832
739,2358
740,1840
741,3147
742,6519
743,5543
744,1151
745,3564
746,4955
747,5767
748,4205
749,2385
750,2709
751,2726
752,4525
753,1263
754,4288
755,1961
756,5727
757,3107
758,7460
759,9451
760,2069
761,2960
762,7603
763,9117
764,8901
765,6796
766,457
767,1681
768,2522
769,4875
770,3756
771,5334
772,3463
773,9334
774,9946
775,1093
776,6272
777,3142
778,6421
779,8918
780,9452
781,4708
782,735
783,6736
784,7633
785,8382
786,8860
787,9951
788,5853
789,8078
790,8530
791,9221
792,4831
793,9576
794,1162
795,6562
796,7600
797,4225
798,8010
799,4252
800,1520
801,6779
802,6695
803,9598
804,9987
805,2351
806,83
807,858
808,5160
809,9114
810,5872
811,1535
812,1035
813,552
814,4355
815,7363
816,2098
817,3866
818,2630
819,7323
820,3201
821,107
822,4713
823,631
824,7415
825,9402
826,7040
827,9537
828,1708
829,4212
830,8492
831,1351
832,1950
833,6050
834,6523
835,229
836,4419
837,5455
838,357
839,7395
840,1075
841,8764
842,5697
843,8015
844,9934
845,1406
846,5635
847,1408
848,359
849,4953
850,1714
851,1576
852,7109
853,9876
854,9510
855,7452
856,2984
857,6155
858,313
859,763
860,3407
861,3128
862,7957
863,6143
864,6282
865,9701
866,5605
867,429
868,1752
869,6505
870,9140
871,7730
872,5054
873,4750
874,5370
875,9667
876,9401
877,1784
878,8403
879,9365
880,607
881,8480
882,5952
883,4834
884,9627
885,3912
886,5822
887,3222
888,3787
889,8655
890,2848
891,2043
892,3558
893,3685
894,9050
895,5192
896,5582
897,2263
898,9703
899,4292
900,2841
901,8752
902,7324
903,58
904,4894
905,7776
906,8899
907,9574
908,7923
909,712
910,9355
911,1194
912,409
913,7591
914,3423
915,3450
916,3233
917,9533
918,6490
919,3754
920,9512
921,3406
922,7679
923,5703
924,3642
925,1688
926,901
927,249
928,767
929,6049
930,2684
931,6916
932,574
933,6606
934,8792
935,6727
936,4140
937,7145
938,855
939,7420
940,4901
941,6083
942,4657
943,1016
944,7900
945,1418
946,4158
947,6923
948,8108
949,3045
950,8628
951,6471
952,9026
953,8687
954,9412
955,7496
956,341
957,683
958,833
959,388
960,7823
961,3651
962,2343
963,1768
964,7528
965,4580
966,6110
967,5469
968,8020
969,7563
970,8011
971,2131
972,6139
973,8582
974,6402
975,2354
976,4607
977,5135
978,2773
979,1547
980,719
981,3251
982,1902
983,9046
984,9464
985,8700
986,1549
987,9872
988,6764
989,2182
990,8323
991,6863
992,8542
993,1057
994,4745
995,3301
996,853
997,3974
998,9961
999,6275
1000,5496
1001,738
1002,7427
