Rank,Card
650,6949
651,9888
652,935
653,1361
654,7277
655,7366
656,8005
657,6875
658,6652
659,3991
660,1196
661,6216
662,2723
663,4492
664,4287
665,169
666,4856
667,248
668,5437
669,9214
670,9381
671,4790
672,3225
673,4432
674,5643
675,3909
676,4936
677,4615
678,490
679,307
680,6223
681,6457
682,9913
683,7317
684,8853
685,4991
686,8112
687,2010
688,3565
689,8606
690,6812
691,3833
692,8544
693,8270
694,4764
695,8262
696,8014
697,7750
698,8065
699,3229
700,4778
701,9834
702,3638
703,9332
704,4136
705,3020
706,5221
707,5256
708,1938
709,6961
710,4443
711,608
712,5778
713,6559
714,8379
715,502
716,8176
717,2691
718,695
719,1441
720,1371
721,8994
722,8893
723,6719
724,9399
725,348
726,6621
727,1578
728,531
729,617
730,5107
731,597
732,8684
733,2799
734,818
735,5669
736,3481
737,7098
738,6908
739,5426
740,1792
741,8016
742,5606
743,2775
744,4142
745,5751
746,6978
747,3899
748,1872
749,9577
750,8442
751,3128
752,5168
753,3492
754,3339
755,2402
756,8749
757,9591
758,2607
759,945
760,7325
761,3206
762,6788
763,9658
764,2188
765,3855
766,6351
767,5604
768,7806
769,1300
770,3550
771,6263
772,7503
773,3965
774,1180
775,2147
776,5319
777,3267
778,96
779,3869
780,2915
781,4612
782,148
783,3876
784,3594
785,7521
786,872
787,8588
788,9510
789,2550
790,6773
791,3096
792,4489
793,4787
794,5157
795,4873
796,4760
797,8265
798,5019
799,6639
800,5933
801,4643
802,9039
803,7985
804,220
805,6944
806,729
807,9665
808,436
809,1963
810,3136
811,2500
812,335
813,7884
814,1026
815,5161
816,6779
817,4399
818,15
819,8658
820,8214
821,1287
822,6544
823,5140
824,8157
825,9610
826,910
827,187
828,8190
829,8097
830,7377
831,1533
832,3969
833,4867
834,2324
835,9049
836,4404
837,6827
838,1960
839,9473
840,1123
841,6703
842,1934
843,2684
844,9165
845,6967
846,4757
847,8586
848,6905
849,8421
850,9741
851,7415
852,1340
853,9949
854,8597
855,2364
856,134
857,6708
858,2555
859,1452
860,4329
861,9559
862,6266
863,6932
864,5443
865,5963
866,5401
867,1724
868,6711
869,6786
870,1359
871,528
872,1734
873,5988
874,1148
875,6483
876,6539
877,6545
878,3010
879,5657
880,4034
881,8192
882,8810
883,1731
884,1521
885,8547
886,8137
887,3560
888,5078
889,9991
890,5240
891,2113
892,787
893,242
894,3926
895,2531
896,4866
897,8117
898,1779
899,9557
900,5158
901,3669
902,1826
903,2899
904,5384
905,893
906,7785
907,4707
908,2066
909,2277
910,2106
911,9631
912,3993
913,1033
914,856
915,2167
916,40
917,3673
918,4805
919,9370
920,8352
921,9406
922,3184
923,9918
924,6285
925,3395
926,4630
927,8118
928,2308
929,5302
930,7169
931,583
932,9388
933,8883
934,7610
935,2320
936,5418
937,6957
938,1526
939,5238
940,1343
941,2311
942,9968
943,8250
944,4080
945,6685
946,710
947,2592
948,4292
949,355
950,8296
951,1127
952,8305
953,8536
954,2798
955,1083
956,8644
957,6433
958,2611
959,7430
960,5160
961,5678
962,9818
963,7067
964,1075
965,8069
966,5252
967,6763
968,767
969,77
970,851
971,6446
972,1202
973,2483
974,1097
975,1353
976,2388
977,5926
978,4814
979,1575
980,7278
981,957
982,5358
983,9195
984,6271
985,6060
986,4526
987,1936
988,7479
989,2323
990,3820
991,1558
992,1538
993,5523
994,6236
995,6198
996,2980
997,8035
998,1443
999,2530
1000,7307
1001,2635
1002,7948
1003,1011
1004,9755
1005,3822
1006,9427
1007,7250
1008,4133
1009,2491
1010,6332
1011,5667
1012,2955
1013,2365
1014,1039
1015,3249
1016,255
1017,9007
1018,7389
1019,2296
1020,3244
1021,7129
1022,3073
1023,5757
1024,6835
1025,8209
1026,5686
1027,4742
1028,9231
1029,1527
1030,4426
1031,6678
1032,7781
1033,3477
1034,6659
1035,5040
1036,4471
1037,404
1038,7273
1039,1044
1040,3668
1041,5813
1042,986
1043,8933
1044,1504
1045,6593
1046,8297
1047,7137
1048,7218
1049,2211
1050,9653
1051,107
1052,4842
1053,7015
1054,7347
1055,2288
1056,2933
1057,4730
1058,2935
1059,2036
1060,401
1061,3962
1062,4509
1063,692
1064,9463
1065,2546
1066,3104
1067,9887
1068,2068
1069,8949
1070,3541
1071,6017
1072,2395
1073,1112
1074,3985
1075,7956
1076,8932
1077,8639
1078,4634
1079,1791
1080,8206
1081,6066
1082,321
1083,3870
1084,7688
1085,2821
1086,5709
1087,3928
1088,772
1089,9522
1090,9694
1091,5895
1092,7363
1093,8750
1094,7380
1095,6947
1096,3051
1097,9521
1098,4511
1099,6760
1100,2080
1101,853
1102,8866
1103,7532
1104,6308
1105,3589
1106,5530
1107,6348
1108,5696
1109,6921
1110,160
1111,703
1112,5791
1113,9205
1114,5648
1115,3881
1116,1383
1117,5271
1118,1695
1119,4727
1120,5210
1121,1447
1122,5897
1123,4061
1124,2527
1125,2198
1126,4046
1127,7446
1128,6456
1129,7279
1130,9154
1131,6805
1132,184
1133,2583
1134,1360
1135,6075
1136,6764
1137,2568
1138,2600
1139,1232
1140,6997
1141,1687
1142,2030
1143,1555
1144,153
1145,1266
1146,9503
1147,2681
1148,122
1149,452
1150,224
1151,867
1152,8484
1153,8973
1154,6924
1155,3292
1156,2544
1157,2098
1158,5735
1159,2758
1160,8708
1161,9416
1162,7158
1163,7675
1164,9109
1165,6809
1166,9217
1167,1636
1168,2965
1169,6393
1170,3505
1171,9418
1172,9273
1173,9283
1174,1273
1175,5441
1176,8437
1177,5074
1178,1567
1179,3398
1180,3110
1181,1463
1182,4816
1183,782
1184,6025
1185,9475
1186,4972
1187,7195
1188,2326
1189,9515
1190,2060
1191,5864
1192,2565
1193,9373
1194,4402
1195,2475
1196,272
1197,8780
1198,788
1199,5041
1200,2759
1201,717
1202,6191
1203,1047
1204,5466
1205,790
1206,9700
1207,8696
1208,7395
1209,7756
1210,1673
1211,9008
1212,3408
1213,5251
1214,3726
1215,1297
1216,7857
1217,1160
1218,5840
1219,5274
1220,7499
1221,4717
1222,3306
1223,7753
1224,1853
1225,6791
1226,4974
1227,4435
1228,5558
1229,4988
1230,4100
1231,7488
1232,2236
1233,8506
1234,7160
1235,5993
1236,2069
1237,456
1238,297
1239,9663
1240,2580
1241,808
1242,5595
1243,995
1244,5511
1245,9312
1246,6849
1247,7164
1248,9202
1249,2417
1250,6296
1251,4880
1252,3961
1253,9687
1254,1171
1255,9629
1256,7664
1257,5022
1258,8252
1259,7001
1260,7971
1261,5656
